=============================================CANCIONES==============================================

ID                     | Nombre                         | Duración (ms) | Popularidad | Artistas
----------------------------------------------------------------------------------------------------
67z96vytrhBnjKUnbELemt | SHAKE AH (feat. Tony Duardo, Optimist Music ZA & Ez Maestro) | 349166        | 62         | Tyla, Tony Duardo, Optimist Music ZA, Ez Maestro
1Cbl3Yq8rHo7hhDQmLQagU | PUSH 2 START                   | 156825        | 88         | Tyla
4Oh1zkPShpImBJOBOKMMAq | BACK to YOU                    | 155220        | 61         | Tyla
1dgaRzQouUkC1Kti0XjKtl | Intro                          | 41250         | 49         | Tyla, Kelvin Momo
6NqWzBN1ROPPxWNPE03SIv | Safer                          | 159173        | 53         | Tyla
0SPzyaBzgPVLSvXGBCRbEN | Water                          | 200255        | 54         | Tyla
7iSyfxhA0rwxx8SL0aNfWa | Truth or Dare                  | 190392        | 54         | Tyla
3r3PUPpBBkLVfApv3iXwvt | No.1 (feat. Tems)              | 147046        | 52         | Tyla, Tems
5KAf8g6qHv455isa8BN7dX | Breathe Me                     | 201110        | 52         | Tyla
3dYENg7OKOhxe7qhUg1N2s | Butterflies                    | 162764        | 49         | Tyla
6Hq8zp2insLA9kmry706kS | On and On                      | 167746        | 49         | Tyla
6LbhgEvVAbkNaKYDvmhUW2 | Jump                           | 147071        | 51         | Tyla, Gunna, Skillibeng
2t0f3armKuRq8XrXUGcR2j | ART                            | 148517        | 51         | Tyla
0ZotV29c676zJzfDJEm0hH | On My Body                     | 157999        | 50         | Tyla, Becky G
4cfEejLSMHmAuYKSkfQUBL | Priorities                     | 194884        | 48         | Tyla
5UGpZf4nc3PoUoxn6VL0WO | To Last                        | 176283        | 47         | Tyla
3SvRPkqbtustFGRYXtJ1hK | Water - Remix                  | 200255        | 46         | Tyla, Travis Scott
3qSk5TP4A8gQIsb8iNVwnx | One Call                       | 158712        | 67         | SPINALL, Omah Lay, Tyla
000N4CJL8IjQ0f2I4grgBO | Girl Next Door                 | 180682        | 58         | Tyla, Ayra Starr
2SPr7EDc5WBw1tM6bNgcZC | Girls Need Love (Girls Mix) (feat. Tyla) | 158350        | 55         | Summer Walker, Tyla
2TDovGBTIpZ6zXKeyhsFzz | Been Thinking                  | 187275        | 58         | Tyla
79RAX0NTNBnzuLieO4zYcr | Getting Late                   | 254557        | 55         | Tyla, Kooldrink
5xMw6qCcpd2gBXPGTegC4W | SOS                            | 117773        | 64         | SZA
3OHfY25tqY28d16oZczHc8 | Kill Bill                      | 153946        | 81         | SZA
6eT2V7nKXyMf47TwPbtgAD | Seek & Destroy                 | 203733        | 68         | SZA
2GAhgAjOhEmItWLfgisyOn | Low                            | 181080        | 81         | SZA
1eIXYZWEfJO3Na2LCCnIJE | Love Language                  | 183893        | 71         | SZA
2CSRrnOEELmhpq8iaAi9cd | Blind                          | 150720        | 75         | SZA
1TweDM3JC49LNeelLVg3yX | Used (feat. Don Toliver)       | 146950        | 65         | SZA, Don Toliver
4iZ4pt7kvcaH6Yo8UoZ4s2 | Snooze                         | 201800        | 90         | SZA
4fnNBPN9W6AoOYSQS3FJxT | Notice Me                      | 160920        | 64         | SZA
2Sjx8DWZO5zaTyTAmgo2gY | Gone Girl                      | 244026        | 66         | SZA
4jTs7ny5eSRnKTzxdrFv5I | Smoking on my Ex Pack          | 83826         | 63         | SZA
4h5x3XHLVYFJaItKuO2rhy | Ghost in the Machine (feat. Phoebe Bridgers) | 218586        | 74         | SZA, Phoebe Bridgers
2e2AXpIiJpet5b4qg85Gh6 | F2F                            | 185040        | 73         | SZA
5Y35SjAfXjjG0sFQ3KOxmm | Nobody Gets Me                 | 180853        | 87         | SZA
4hTej08FutmriOs7S1hWWy | Conceited                      | 151413        | 65         | SZA
6RQ5IwG7uADz9LDWliJGjU | Special                        | 158840        | 72         | SZA
4rAg5bbrdZX00mXXhLvYXj | Too Late                       | 164426        | 61         | SZA
74NI58MQexwZjNu1Gu6GjT | Far                            | 180680        | 67         | SZA
2wSTnntOPRi7aQneobFtU4 | Shirt                          | 181840        | 75         | SZA
0xaFw2zDYf1rIJWl2dXiSF | Open Arms (feat. Travis Scott) | 239613        | 77         | SZA, Travis Scott
2aJnyNu4PQxQ2lyj5boiMG | I Hate U                       | 173906        | 71         | SZA
4PMqSO5qyjpvzhlLI5GnID | Good Days                      | 278480        | 85         | SZA
5IcP1PPnleZ2kuwKDyfNC5 | Forgiveless (feat. Ol' Dirty Bastard) | 141960        | 63         | SZA, Ol' Dirty Bastard
3obGrchYRmtO5rk4O2ZtLZ | No More Hiding                 | 162662        | 68         | SZA
6jTQijAuYxOd8DjQ8D6UkL | What Do I Do                   | 167448        | 77         | SZA
