================================CANCIONES ORDENADAS POR POPULARIDAD=================================

ID                     | Nombre                         | Duración (ms) | Popularidad | Artistas
----------------------------------------------------------------------------------------------------
6DUdDIRgLqCGq1DwkNWQTN | Borro Cassette                 | 207306        | 85         | Maluma
1IHWl5LamUGEuP4ozKQSXZ | Tití Me Preguntó               | 243716        | 85         | Bad Bunny
3k3NWokhRRkEPhCzPmV8TW | Ojitos Lindos                  | 258298        | 85         | Bad Bunny, Bomba Estéreo
6G4U9avyBNEfP0fAIduev3 | Ella Y Yo - Featuring Don Omar | 267786        | 84         | Aventura, Don Omar
69Ej1xrGjOcHvIMtMKxK0G | Dile                           | 204600        | 84         | Don Omar
5PycBIeabfvX3n9ILG7Vrv | Propuesta Indecente            | 235133        | 83         | Romeo Santos
1yoMvmasuxZfqHEipJhRbp | Hawái                          | 199112        | 83         | Maluma
0DWdj2oZMBFSzRsi2Cvfzf | TQG                            | 197933        | 83         | KAROL G, Shakira
2tTmW7RDtMQtBk7m2rYeSw | Quevedo: Bzrp Music Sessions, Vol. 52 | 198937        | 83         | Bizarrap, Quevedo
6Sq7ltF9Qa7SNFBsV5Cogx | Me Porto Bonito                | 178567        | 83         | Bad Bunny, Chencho Corleone
0HDHY6RSHHG2ZTE0cMT4GJ | Los Infieles                   | 257186        | 82         | Aventura
7LABrQFfRYcZUqUwng0Heb | Encantadora                    | 240093        | 82         | Yandel
6mmPpaltUZK7xjNlBPQQ0p | Desesperados                   | 224996        | 82         | Rauw Alejandro, Chencho Corleone
1zsPaEkglFvxjAhrM8yhpr | Hey Mor                        | 196600        | 82         | Ozuna, Feid
5ww2BF9slyYgNOk37BlC4u | La Bachata                     | 162637        | 80         | Manuel Turizo
41oY4WCTj5kccfesTVFnvN | Tarot                          | 237894        | 80         | Bad Bunny, JHAYCO
6VrQTLzzuyGIYjUDe4kAZk | Un Coco                        | 196412        | 80         | Bad Bunny
5YJ4BVvTFmVCxUyhKejHfR | Pa' Que Retozen                | 151666        | 80         | Tego Calderón
5gflgO9EPbIBf16n5TKnQS | Yo Voy (feat. Daddy Yankee)    | 232019        | 80         | Zion & Lennox
65H6t1WQBim6q93yM8fEwn | Obsesion                       | 254720        | 80         | Aventura, Judy Santos
6aommJFM8i3iT4inKuDSXh | Chachachá                      | 215986        | 80         | Jósean Log
4NoOME4Dhf4xgxbHDT7VGe | X SI VOLVEMOS                  | 200120        | 79         | KAROL G, Romeo Santos
2JPLbjOn0wPCngEot2STUS | Yonaguni                       | 206710        | 79         | Bad Bunny
4r9jkMEnArtWGH2rL2FZl0 | A Tu Merced                    | 175918        | 78         | Bad Bunny
059bcIhyc2SBwm6sw2AZzd | Te Vi                          | 231848        | 78         | Piso 21, Micro TDH
0CYTGMBYkwUxrj1MWDLrC5 | CHORRITO PA LAS ANIMAS         | 168133        | 78         | Feid
4dyzxv5SsdBtunuU3qj7Ti | Me Hace Daño Verte             | 300791        | 77         | Fresto Music
2q9udNV9NK0BL3q9p6TLxf | Procura                        | 271031        | 77         | ChiChi Peralta, Jandy Feliz
7FlQk2gJ6TBrHHiidvdR2O | MAMIII                         | 226093        | 77         | Becky G, KAROL G
